summary,city,state,date_time,shape,duration,stats,report_link,text,posted,city_latitude,city_longitude
"My wife was driving southeast on a fairly populated main side road, it was dark out side at about 6:43pm, And my wife exclaimed” fallin",Chester,VA,2019-12-12T18:43:00,light,5 seconds,"Occurred : 12/12/2019 18:43  (Entered as : 12/12/19 18:43) Reported: 12/19/2019 7:19:31 PM 19:19 Posted: 12/22/2019 Location: Chester, VA Shape: Light Duration:5 seconds",http://www.nuforc.org/webreports/151/S151739.html,"My wife was driving southeast on a fairly populated main side road, it was dark out side at about 6:43pm, And my wife exclaimed” falling star baby look quick!” When I looked up I saw not a falling star but a bright ball of light , one that was closer than any shooting star I have ever seen, it had a blue glow  changing into green colors of light as it fell from the sky. It fell as if falling from an invisible opening in the sky... the night was a crystal clear night sky  so no clouds or precipitation to obstruct our view and the object was closer than any I have ever witnessed before. The way the object fell was too slow to be a meteor or falling star, also noting that there was no “light trail” following behind the object as it fell. We watched it fall for about 5 seconds before it disappeared into the dark night sky somewhere close to the earth surface.  It was the strangest light; object; ufo... I have encountered and felt a duty to report it.",2019-12-22T00:00:00,37.343151515151526,-77.408581818182
I think that I may caught a UFO on the NBC Nightly News that aired March 21st or 22nd.,Rocky Hill,CT,2019-03-22T18:30:00,circle,3-5 seconds,"Occurred : 3/22/2019 18:30  (Entered as : 03/22/19 18:30) Reported: 3/27/2019 4:10:19 PM 16:10 Posted: 3/29/2019 Location: Rocky Hill, CT Shape: Circle Duration:3-5 seconds",http://www.nuforc.org/webreports/145/S145297.html,"I think that I may caught a UFO on the NBC Nightly News that aired March 21st or 22nd. In this short clip of a Boeing 747, as the plane flies left to right, you can see a black circular object flying eradicably (sic.  Erraticly)) behind the tail wing,  I’m guessing at a distance of about 25-30 feet. If you slow the video down you can home in on the object more so.",2019-03-29T00:00:00,41.66480000000001,-72.6392999999999
I was driving towards the intersection of fallowfield and eagleson when I saw a where streak in the sky like a falling plane or somethi,Ottawa,ON,2019-04-17T02:00:00,teardrop,10 seconds,"Occurred : 4/17/2019 02:00  (Entered as : 04-17-2019 2:00) Reported: 4/17/2019 8:41:25 AM 08:41 Posted: 4/18/2019 Location: Ottawa (Carleton) (Canada), ON Shape: Teardrop Duration:10 seconds",http://www.nuforc.org/webreports/145/S145697.html,I was driving towards the intersection of fallowfield and eagleson when I saw a where streak in the sky like a falling plane or something.  I was shocked and it went down really fast towards the ground and disappeared.  Sorry for lack of details.  That is all I know.,2019-04-18T00:00:00,45.38138250000021,-75.70850071428617
"The object has flashing lights that are green, blue, red, and white.  The lights revolves around the object.  The object hovers.",Kirbyville,TX,2019-04-02T20:25:00,disk,15 minutes,"Occurred : 4/2/2019 20:25  (Entered as : 04/02/2019 20:25) Reported: 4/3/2019 6:36:52 PM 18:36 Posted: 4/8/2019 Location: Kirbyville, TX Shape: Disk Duration:15 minutes",http://www.nuforc.org/webreports/145/S145476.html,"The object has flashing lights that are green, blue, red, and white.  The lights revolves around the object.  The object hovers in the same area for a long period of time. ((ADDENDUM FROM WITNESS)) Thank you for responding.  The object seemed sphere or disc shaped.  The object was extremely far away, but we were able to see every color.  At one point a plane flew under the object and we were able to see how large it was in comparison.  It was at least two or three times the size of the aircraft.  The object ended up hovering for over an hour that we saw.  At one point the object dipped down and we noticed a smaller object below it that was similar.  When the larger object reached the smaller one, all of the sudden the smaller object disappeared.  We then noticed a large plane that flew under the large object flying North. The large object then suddenly disappeared. Please understand that I have never believed in UFO's nor do I believe in conspiracy theories.  This is a true account of what we have seen. I was not alone in seeing this object.  I do have a recording but my camera is so bad that it is difficult to see any of the colors that we saw on the recording.  Also, the object seemed much smaller in the recording than in real life.  If you would like for me to send you an attachment I will be more than happy to provide the documentation.  If there is an explanation for what was seen, please let me know. Thank you! ((END ADDENDUM)) ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",2019-04-08T00:00:00,30.6772,-94.0052
Description is the same as Washington DC event in the 50’s  Glitter type objects .,Tucson,AZ,2019-05-01T11:00:00,unknown,5 minutes,"Occurred : 5/1/2019 11:00  (Entered as : 5/1/19 11:00) Reported: 5/1/2019 11:26:56 AM 11:26 Posted: 5/9/2019 Location: Tucson, AZ Shape: Unknown Duration:5 minutes",http://www.nuforc.org/webreports/145/S145947.html,"Description is the same as Washington, DC, event in the 50’s   Glitter type objects . Still scanning .... A-10’s scrambled out of David monathin airbase. ??",2019-05-09T00:00:00,32.25994075660238,-110.92754232690946
Apr. 10th we witnessed a very bright silvery round object hovering near zenith over our community looking like a very bright star.,Gold Canyon,AZ,2019-04-10T17:00:00,circle,10 minutes,"Occurred : 4/10/2019 17:00  (Entered as : 04/10/2019 17:00) Reported: 4/20/2019 5:28:10 PM 17:28 Posted: 4/25/2019 Location: Gold Canyon, AZ Shape: Circle Duration:10 minutes",http://www.nuforc.org/webreports/145/S145766.html,"Apr. 10th we witnessed a very bright silvery round object hovering near zenith over our community looking like a very bright star. On Apr. 10th at aprox. 7pm we witnessed a very bright silvery round object hovering near zenith over our community looking like a very large bright star.  It did not appear to move for the 10 minutes it was observed in conflict with very strong winds.  It changed color from bright shinny to reddish as the sun was setting, made no noise, and was unobservable after the sunset.  2 photos were taken with each  looking totally different in appearance ... they were taken only 3 min. apart. The observers are all retired professionals.",2019-04-25T00:00:00,33.3715,-111.4369
Ufos report in Irving Texas at 2200 hrs. On or about July 1973 or 1974.,Dallas,TX,1973-07-14T22:00:00,oval,6 minutes,"Occurred : 7/14/1973 22:00  (Entered as : 07/14/73 22:00) Reported: 4/20/2019 2:21:04 AM 02:21 Posted: 4/25/2019 Location: Dallas, TX Shape: Oval Duration:6 minutes",http://www.nuforc.org/webreports/145/S145751.html,"Ufos report in Irving Texas at 2200 hrs.  On or about July 1973 or 1974. Myself and my mother her sister and daughter was watching tv waiting for the news to come on, at 2200 hrs watching wffa channel 8 news the reporter said, ""Folks, if you want to see something amazing go out side and look over the Dallas skyline"" which we did as well as most of the block. What we all saw was three objects looked like the size of a golf balls from about 9 miles from Dallas texas looking east.  At about a 1000 to 1500 feet above Dallas.  These objects was stationery each emitting different colors like blue gold red green silver.  It was rather superb looking.  After just standing there for about a minute each one started to do bizzar monuvers like one was zigzaging the other one was going up then down zipping from on side of the sky back and forth with the other two, at on point they formed a close circle and went spinning around at very fast speed. This lasted for about 3 min.  When the US Navy put a halt to the airshow as they scrambled two F-8 crusaders which at that time was hot alert aircraft, which ment they was armed with the sidewinder missile, along with the 50.cal guns.  They flew from NAS Hensley field out side of Dallas on the southwest just about 6 miles away, it only took about 20 seconds from the time they took off to get  over Dallas.  (I seen them as they left the air station only 3 miles away) never will forget how loud they was in full afterburner,  Just before they got on station, the three objects shot straight up in the night sky in a split second.  The F-8s made a few passes over Dallas before returning to there base. This left me with a impression that the ufos wanted to show the people what they could do, I know aircraft and it was nothing  that any aircraft or helicopter could do. Not only did my family see this but was reported by was channel 8 news along with hundreds of people I will say on thing this report is not a hoax I seen other sightings as well but none as this one.",2019-04-25T00:00:00,32.835168077433146,-96.80811785917246
Metal orb of wires that was seen through a telescope after noticing a bright light that hovered in the sky. ((anonymous report)),Brookville,IN,2019-06-18T21:00:00,sphere,1 hour,"Occurred : 6/18/2019 21:00  (Entered as : 6/18/19 21:00) Reported: 6/18/2019 7:10:28 PM 19:10 Posted: 6/20/2019 Location: Brookville, IN Shape: Sphere Duration:1 hour",http://www.nuforc.org/webreports/146/S146900.html,"Metal orb of wires that was seen through a telescope after noticing a bright light that hovered in the sky for about an hour. Noticed a light in the sky that looked like an airplane, but never moved.  Proceeded to get telescope out and noticed a sphere that looked as if it was made out of wires.  Also noticed 2 black things inside of the center or at times one black thing and a tail on it.  No lights were on it and once the sun went over the horizon it was very hard to see.  There was 3 other of these lights in the sky very far apart from each other.   The whole incident lasted a whole hour but I am sure it was there for half an hour more at least. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",2019-06-20T00:00:00,39.4047,-84.97360000000002
2 tiny lights recorded for about a minute.  We watched the top light bolt higher and then the lower light does a semi-circle.,Melbourne Beach,FL,2019-06-12T22:00:00,unknown,Hour,"Occurred : 6/12/2019 22:00  (Entered as : 06/12/2019 22:00) Reported: 6/13/2019 5:27:17 AM 05:27 Posted: 6/20/2019 Location: Melbourne Beach, FL Shape: Unknown Duration:Hour",http://www.nuforc.org/webreports/146/S146805.html,We think 2 UFOs....2 tiny lights recorded for about a minute.  We watched the top light bolt higher and then the lower light does an unbelievable semi circle motion.  Moved SO FAST like nothing I have ever seen before.,2019-06-20T00:00:00,27.966799999999992,-80.5096
"I was driving and saw three glowing orbs is the best I can describe it. I was driving trying to keep an eye on it and as I watched it,",Carrizozo,NM,2019-06-11T22:00:00,changing,Few minutes,"Occurred : 6/11/2019 22:00  (Entered as : June 11 20 22:00) Reported: 6/11/2019 10:18:14 PM 22:18 Posted: 6/20/2019 Location: Carrizozo, NM Shape: Changing Duration:Few minutes",http://www.nuforc.org/webreports/146/S146759.html,"I was driving and saw three glowing orbs is the best I can describe it.  I was driving trying to keep an eye on it and as I watched it, it just disappeared.  I also saw something else that could be related, it just didn't look right two lights almost looked like they were hovering and they did change location in the sky and were lower than the stars or what could be satellites, it did not look right to me",2019-06-20T00:00:00,33.7849,-105.8332
